pcode,district_name,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
ID1101,Simeulue,Aceh,78.0,3,-9.667,26.0
ID1102,Aceh Singkil,Aceh,825.0,11,-9.955,75.0
ID1103,Aceh Selatan,Aceh,581.0,9,-9.222,64.556
ID1104,Aceh Tenggara,Aceh,233.0,5,-9.3,46.6
ID1105,Aceh Timur,Aceh,665.0,11,-9.227,60.455
ID1106,Aceh Tengah,Aceh,455.0,6,-9.167,75.833
ID1107,Aceh Barat,Aceh,930.5,14,-9.786,66.464
ID1108,Aceh Besar,Aceh,1740.0,23,-9.652,75.652
ID1109,Pidie,Aceh,2061.5,33,-9.303,62.47
ID1110,Bireuen,Aceh,2804.0,38,-9.461,73.789
ID1111,Aceh Utara,Aceh,2013.0,32,-9.531,62.906
ID1112,Aceh Barat Daya,Aceh,575.0,6,-9.583,95.833
ID1113,Gayo Lues,Aceh,1580.0,16,-9.812,98.75
ID1114,Aceh Tamiang,Aceh,2283.0,41,-9.207,55.683
ID1115,Nagan Raya,Aceh,20.0,1,-10.0,20.0
ID1116,Aceh Jaya,Aceh,190.0,2,-9.5,95.0
ID1118,Pidie Jaya,Aceh,1566.0,24,-9.667,65.25
ID1171,Kota Banda Aceh,Aceh,730.0,9,-9.222,81.111
ID1172,Kota Sabang,Aceh,80.0,2,-10.0,40.0
ID1174,Kota Lhokseumawe,Aceh,1065.0,16,-9.125,66.562
ID1175,Kota Subulussalam,Aceh,68.0,3,-9.667,22.667
ID1202,Mandailing Natal,Sumatera Utara,76.0,1,-9.5,76.0
ID1203,Tapanuli Selatan,Sumatera Utara,479.0,7,-9.0,68.429
ID1204,Tapanuli Tengah,Sumatera Utara,1759.5,18,-9.028,97.75
ID1205,Tapanuli Utara,Sumatera Utara,14104.5,212,-9.333,66.531
ID1206,Toba Samosir,Sumatera Utara,10029.0,121,-9.508,82.884
ID1207,Labuhan Batu,Sumatera Utara,645.0,9,-9.611,71.667
ID1208,Asahan,Sumatera Utara,3458.0,45,-9.467,76.844
ID1209,Simalungun,Sumatera Utara,6380.0,92,-9.375,69.348
ID1210,Dairi,Sumatera Utara,6168.0,94,-8.34,65.617
ID1211,Karo,Sumatera Utara,6971.5,95,-9.716,73.384
ID1212,Deli Serdang,Sumatera Utara,6506.0,86,-9.308,75.651
ID1213,Langkat,Sumatera Utara,5866.5,99,-9.283,59.258
ID1215,Humbang Hasundutan,Sumatera Utara,800.0,9,-10.0,88.889
ID1217,Samosir,Sumatera Utara,3712.0,44,-9.705,84.364
ID1218,Serdang Bedagai,Sumatera Utara,42886.5,750,-9.155,57.182
ID1219,Batu Bara,Sumatera Utara,1744.0,28,-9.5,62.286
ID1223,Labuhan Batu Utara,Sumatera Utara,738.5,13,-9.769,56.808
ID1225,Nias Barat,Sumatera Utara,239.0,3,-8.833,79.667
ID1271,Kota Sibolga,Sumatera Utara,2403.5,34,-9.118,70.691
ID1273,Kota Pematang Siantar,Sumatera Utara,970.0,13,-8.385,74.615
ID1274,Kota Tebing Tinggi,Sumatera Utara,1267.0,16,-9.062,79.188
ID1275,Kota Medan,Sumatera Utara,4866.5,102,-9.113,47.711
ID1276,Kota Binjai,Sumatera Utara,2898.0,43,-9.349,67.395
ID1277,Kota Padangsidimpuan,Sumatera Utara,60.0,1,-10.0,60.0
ID1278,Kota Gunungsitoli,Sumatera Utara,1009.0,15,-9.667,67.267
ID1288,Danau Toba,Sumatera Utara,6411.0,83,-9.608,77.241
ID1301,Kepulauan Mentawai,Sumatera Barat,318.0,6,-9.75,53.0
ID1302,Pesisir Selatan,Sumatera Barat,3052.0,51,-9.627,59.843
ID1304,Sijunjung,Sumatera Barat,140.0,3,-10.0,46.667
ID1305,Tanah Datar,Sumatera Barat,776.0,11,-9.182,70.545
ID1306,Padang Pariaman,Sumatera Barat,65.0,1,-6.5,65.0
ID1307,Agam,Sumatera Barat,997.0,10,-9.65,99.7
ID1308,Lima Puluh Kota,Sumatera Barat,553.0,17,-9.206,32.529
ID1309,Pasaman,Sumatera Barat,180.0,4,-9.75,45.0
ID1376,Kota Payakumbuh,Sumatera Barat,416.0,6,-9.417,69.333
ID1377,Kota Pariaman,Sumatera Barat,49.5,3,-9.833,16.5
ID1402,Indragiri Hulu,Riau,100.0,1,-10.0,100.0
ID1403,Indragiri Hilir,Riau,26.0,1,-6.5,26.0
ID1404,Pelalawan,Riau,55652.5,668,-9.406,83.312
ID1406,Kampar,Riau,18573.0,220,-9.43,84.423
ID1407,Rokan Hulu,Riau,170.0,3,-10.0,56.667
ID1408,Bengkalis,Riau,1126.0,16,-9.812,70.375
ID1471,Kota Pekanbaru,Riau,2585.5,36,-9.889,71.819
ID1473,Kota Dumai,Riau,250.5,7,-9.143,35.786
ID1501,Kerinci,Jambi,90.0,1,-9.0,90.0
ID1503,Sarolangun,Jambi,290.0,3,-9.667,96.667
ID1508,Tebo,Jambi,260.0,3,-10.0,86.667
ID1571,Kota Jambi,Jambi,9784.5,119,-9.336,82.223
ID1602,Ogan Komering Ilir,Sumatera Selatan,180.0,2,-10.0,90.0
ID1603,Muara Enim,Sumatera Selatan,756.0,9,-9.944,84.0
ID1604,Lahat,Sumatera Selatan,558.0,7,-9.571,79.714
ID1606,Musi Banyuasin,Sumatera Selatan,725.5,14,-9.214,51.821
ID1607,Banyu Asin,Sumatera Selatan,128.0,3,-9.667,42.667
ID1671,Kota Palembang,Sumatera Selatan,35691.0,385,-9.561,92.704
ID1672,Kota Prabumulih,Sumatera Selatan,600.0,6,-10.0,100.0
ID1673,Kota Pagar Alam,Sumatera Selatan,100.0,1,-10.0,100.0
ID1674,Kota Lubuklinggau,Sumatera Selatan,1194.0,16,-9.906,74.625
ID1688,Danau,Sumatera Selatan,100.0,1,-10.0,100.0
ID1702,Rejang Lebong,Bengkulu,688.5,13,-9.654,52.962
