week,province_name,total_intensity,event_count,mean_goldstein,intensity_per_event
2024-06-10,Aceh,10.0,1,-10.0,10.0
2024-06-10,Bali,335.0,6,-9.833,55.833
2024-06-10,Banten,516.0,7,-9.929,73.714
2024-06-10,Daerah Istimewa Yogyakarta,465.0,5,-9.3,93.0
2024-06-10,Dki Jakarta,2910.0,34,-8.956,85.588
2024-06-10,Jambi,60.0,1,-10.0,60.0
2024-06-10,Jawa Barat,3258.0,42,-9.738,77.571
2024-06-10,Jawa Tengah,1666.0,25,-8.96,66.64
2024-06-10,Jawa Timur,2739.0,32,-9.766,85.594
2024-06-10,Kalimantan Tengah,545.0,7,-9.5,77.857
2024-06-10,Kalimantan Timur,20.0,1,-10.0,20.0
2024-06-10,Maluku,39.0,1,-6.5,39.0
2024-06-10,Nusa Tenggara Barat,110.0,2,-9.5,55.0
2024-06-10,Nusa Tenggara Timur,96.0,2,-9.5,48.0
2024-06-10,Papua,626.0,10,-9.1,62.6
2024-06-10,Riau,540.0,8,-9.75,67.5
2024-06-10,Sulawesi Barat,100.0,1,-10.0,100.0
2024-06-10,Sulawesi Selatan,2472.5,33,-9.545,74.924
2024-06-10,Sulawesi Utara,79.0,2,-9.75,39.5
2024-06-10,Sumatera Barat,80.0,1,-10.0,80.0
2024-06-10,Sumatera Selatan,236.0,3,-9.667,78.667
2024-06-10,Sumatera Utara,1968.0,27,-9.648,72.889
2024-06-10,Unknown,463.0,6,-9.25,77.167
2024-06-17,Aceh,90.0,3,-10.0,30.0
2024-06-17,Bali,215.0,4,-9.75,53.75
2024-06-17,Banten,957.0,14,-8.464,68.357
2024-06-17,Bengkulu,100.0,1,-10.0,100.0
2024-06-17,Daerah Istimewa Yogyakarta,280.0,4,-10.0,70.0
2024-06-17,Dki Jakarta,3084.5,48,-8.844,64.26
2024-06-17,Jawa Barat,3867.0,50,-9.7,77.34
2024-06-17,Jawa Tengah,1891.0,22,-9.705,85.955
2024-06-17,Jawa Timur,2787.0,38,-9.553,73.342
2024-06-17,Kalimantan Tengah,660.0,6,-10.0,110.0
2024-06-17,Kepulauan Bangka Belitung,320.0,4,-10.0,80.0
2024-06-17,Kepulauan Riau,100.0,1,-10.0,100.0
2024-06-17,Nusa Tenggara Barat,320.0,5,-10.0,64.0
2024-06-17,Nusa Tenggara Timur,100.0,1,-10.0,100.0
2024-06-17,Papua,1128.0,16,-9.719,70.5
2024-06-17,Papua Barat,270.0,3,-9.667,90.0
2024-06-17,Riau,1087.0,13,-9.5,83.615
2024-06-17,Sulawesi Barat,60.0,2,-10.0,30.0
2024-06-17,Sulawesi Selatan,2708.0,39,-9.487,69.436
2024-06-17,Sulawesi Tengah,194.0,5,-9.2,38.8
2024-06-17,Sulawesi Tenggara,80.0,2,-10.0,40.0
2024-06-17,Sulawesi Utara,80.0,1,-10.0,80.0
2024-06-17,Sumatera Barat,250.0,4,-10.0,62.5
2024-06-17,Sumatera Selatan,158.0,3,-9.667,52.667
2024-06-17,Sumatera Utara,1766.5,23,-9.609,76.804
2024-06-17,Unknown,540.0,6,-9.25,90.0
2024-06-24,Bali,144.0,3,-9.667,48.0
2024-06-24,Banten,1766.0,24,-9.042,73.583
2024-06-24,Daerah Istimewa Yogyakarta,321.0,6,-9.667,53.5
2024-06-24,Dki Jakarta,4821.5,61,-8.746,79.041
2024-06-24,Jambi,200.0,2,-10.0,100.0
2024-06-24,Jawa Barat,3729.0,50,-9.43,74.58
2024-06-24,Jawa Tengah,1067.0,15,-9.6,71.133
2024-06-24,Jawa Timur,4513.0,63,-9.484,71.635
2024-06-24,Kalimantan Barat,40.0,1,-10.0,40.0
2024-06-24,Kalimantan Tengah,600.0,7,-9.429,85.714
2024-06-24,Kalimantan Timur,130.0,2,-10.0,65.0
2024-06-24,Kepulauan Bangka Belitung,188.0,4,-7.75,47.0
2024-06-24,Lampung,72.0,1,-9.0,72.0
2024-06-24,Nusa Tenggara Barat,246.0,5,-9.4,49.2
2024-06-24,Nusa Tenggara Timur,130.0,2,-10.0,65.0
2024-06-24,Papua,180.0,2,-10.0,90.0
2024-06-24,Papua Barat,130.0,2,-9.5,65.0
2024-06-24,Riau,1201.0,15,-9.167,80.067
2024-06-24,Sulawesi Selatan,2938.5,39,-9.244,75.346
2024-06-24,Sulawesi Tengah,190.0,2,-9.5,95.0
2024-06-24,Sulawesi Tenggara,325.0,3,-8.833,108.333
2024-06-24,Sumatera Barat,115.5,4,-7.375,28.875
2024-06-24,Sumatera Selatan,488.0,7,-9.857,69.714
2024-06-24,Sumatera Utara,1567.0,28,-9.429,55.964
2024-06-24,Unknown,460.0,7,-9.857,65.714
2024-07-01,Aceh,170.0,3,-8.5,56.667
2024-07-01,Bali,200.0,3,-10.0,66.667
2024-07-01,Banten,618.0,9,-9.0,68.667
2024-07-01,Bengkulu,65.0,1,-6.5,65.0
2024-07-01,Daerah Istimewa Yogyakarta,280.0,3,-9.333,93.333
2024-07-01,Dki Jakarta,3974.5,51,-8.853,77.931
2024-07-01,Gorontalo,80.0,1,-10.0,80.0
2024-07-01,Jambi,60.0,1,-10.0,60.0
2024-07-01,Jawa Barat,4564.0,56,-9.741,81.5
2024-07-01,Jawa Tengah,650.0,10,-10.0,65.0
2024-07-01,Jawa Timur,4141.0,52,-9.577,79.635
2024-07-01,Kalimantan Tengah,590.0,7,-9.857,84.286
2024-07-01,Kalimantan Timur,20.0,1,-10.0,20.0
2024-07-01,Kepulauan Bangka Belitung,356.0,4,-9.75,89.0
2024-07-01,Kepulauan Riau,100.0,2,-10.0,50.0
2024-07-01,Lampung,200.0,1,-10.0,200.0
2024-07-01,Nusa Tenggara Barat,190.0,2,-9.5,95.0
2024-07-01,Papua,60.0,4,-10.0,15.0
2024-07-01,Riau,796.0,14,-9.5,56.857
2024-07-01,Sulawesi Barat,300.0,4,-9.5,75.0
2024-07-01,Sulawesi Selatan,3302.0,45,-9.422,73.378
2024-07-01,Sulawesi Tenggara,80.0,1,-10.0,80.0
2024-07-01,Sumatera Barat,352.0,7,-9.143,50.286
2024-07-01,Sumatera Selatan,535.0,6,-9.25,89.167
2024-07-01,Sumatera Utara,1472.0,24,-9.688,61.333
2024-07-01,Unknown,245.0,4,-9.125,61.25
2024-07-08,Bali,461.0,6,-9.25,76.833
2024-07-08,Banten,731.0,13,-9.346,56.231
2024-07-08,Daerah Istimewa Yogyakarta,195.0,2,-9.75,97.5
2024-07-08,Dki Jakarta,4069.0,49,-9.214,83.041
2024-07-08,Gorontalo,96.5,3,-8.833,32.167
2024-07-08,Jambi,150.0,2,-10.0,75.0
2024-07-08,Jawa Barat,2446.0,39,-9.628,62.718
2024-07-08,Jawa Tengah,1442.0,19,-9.553,75.895
2024-07-08,Jawa Timur,3240.0,47,-9.415,68.936
2024-07-08,Kalimantan Selatan,245.0,3,-9.833,81.667
2024-07-08,Kalimantan Tengah,880.0,10,-9.9,88.0
2024-07-08,Kepulauan Bangka Belitung,308.0,4,-9.25,77.0
2024-07-08,Kepulauan Riau,120.0,2,-10.0,60.0
2024-07-08,Lampung,54.0,1,-9.0,54.0
2024-07-08,Maluku,15.0,1,-7.5,15.0
2024-07-08,Nusa Tenggara Barat,100.0,1,-10.0,100.0
2024-07-08,Nusa Tenggara Timur,30.0,2,-10.0,15.0
2024-07-08,Papua,973.5,14,-9.536,69.536
2024-07-08,Papua Barat,10.0,1,-10.0,10.0
2024-07-08,Riau,1092.0,12,-9.333,91.0
2024-07-08,Sulawesi Barat,200.0,2,-10.0,100.0
2024-07-08,Sulawesi Selatan,3350.0,44,-9.08,76.136
2024-07-08,Sulawesi Tengah,199.0,4,-9.875,49.75
2024-07-08,Sumatera Selatan,400.0,3,-10.0,133.333
2024-07-08,Sumatera Utara,3021.0,42,-9.81,71.929
2024-07-08,Unknown,558.0,9,-9.889,62.0
2024-07-15,Aceh,344.0,4,-9.5,86.0
2024-07-15,Bali,300.0,6,-9.667,50.0
2024-07-15,Banten,721.0,10,-9.35,72.1
2024-07-15,Daerah Istimewa Yogyakarta,310.0,4,-9.75,77.5
2024-07-15,Dki Jakarta,3359.5,44,-9.239,76.352
2024-07-15,Gorontalo,19.0,1,-9.5,19.0
2024-07-15,Jawa Barat,3006.5,37,-9.608,81.257
2024-07-15,Jawa Tengah,2497.0,32,-9.797,78.031
2024-07-15,Jawa Timur,1931.0,31,-9.532,62.29
2024-07-15,Kalimantan Barat,100.0,1,-10.0,100.0
2024-07-15,Kalimantan Selatan,133.0,2,-9.5,66.5
2024-07-15,Kalimantan Tengah,1059.0,13,-9.654,81.462
2024-07-15,Kepulauan Bangka Belitung,165.0,2,-8.25,82.5
2024-07-15,Kepulauan Riau,40.0,1,-10.0,40.0
2024-07-15,Lampung,190.0,2,-9.5,95.0
2024-07-15,Nusa Tenggara Barat,265.0,4,-8.625,66.25
2024-07-15,Nusa Tenggara Timur,239.0,3,-8.833,79.667
2024-07-15,Papua,834.5,13,-9.5,64.192
